model,acc_mean,acc_std,f1_mean,f1_std,prec_mean,rec_mean
SVM,0.6299418968987356,0.0001963933710339,0.6320413200571013,0.0014375435842951,0.6279791082364503,0.6361735980879897
Logistic Regression,0.6499925298416768,0.0016877641447175,0.6534916488624496,0.001688382117937,0.646515345871758,0.6606236822841699
Naive Bayes,0.6487114378972086,0.0037087717202259,0.6443227527938106,0.0036997411368373,0.6519486795290796,0.6368893856479522
Random Forest,0.6358111050190294,0.0001978268592519,0.6426563939086221,0.0002667794140454,0.6303124839551176,0.655495295779159
BiLSTM,0.6669152024075266,0.0062782698117763,0.6692557020241233,0.0049781540191378,0.6641972041387422,0.6745189913785202
BanglaBERT,0.7742588718368469,0.0009999753704547,0.7593322207524967,0.002328527728082,0.8123566786692203,0.7128625495625457
Bangla-Electra,0.6969165847090125,0.0036991071854576,0.6945265896297405,0.001953304206877,0.6997675137148613,0.6897248439172569
mBERT,0.6902739326814916,0.033028499629256226,0.6805368394983362,0.035416014771430096,0.7016070782774918,0.6607450447056483
