model,acc_mean,acc_std,f1_mean,f1_std,prec_mean,rec_mean
SVM,0.6299418968987356,0.00019639337103390076,0.6320413200571013,0.0014375435842951558,0.6279791082364503,0.6361735980879897
Logistic Regression,0.6499925298416768,0.0016877641447175984,0.6534916488624496,0.0016883821179370438,0.646515345871758,0.6606236822841699
Naive Bayes,0.6487114378972086,0.0037087717202259965,0.6443227527938106,0.003699741136837308,0.6519486795290796,0.6368893856479522
Random Forest,0.6358111050190294,0.00019782685925190207,0.6426563939086221,0.0002667794140454938,0.6303124839551176,0.655495295779159
